MEMBER,ELECTORATE,PARTY,ELECTORATE/MINISTERIAL ADDRESS,TELEPHONE/FAX NOS.,
BAILEY Honourable Mark Craig BA(UQ),Yeerongpilly,ALP,"3/116 Beaudesert Road, Moorooka Qld 4105",    Ph: 07 3414 2120,
DipEd(Sec) GradSchTheatre(NY),,,Email: yeerongpilly@parliament.qld.gov.au,   Fax: 07 3414 2129,
"Minister for Main Roads, Road Safety and",,,,,
"Ports and Minister for Energy, Biofuels and",,,"Ministerial: Level 15, Capital Hill Building, 85 George",    Ph: 07 3719 7300,
Water Supply,,,"Street, Brisbane Qld 4000",,
,,,"(GPO Box 2644, Brisbane Qld 4001)",,
,,,Email: mainroads@ministerial.qld.gov.au,,
,,,energyandwatersupply@ministerial.qld.gov.au,,
,,,,,
BARTON Verity Mary [Miss],Broadwater,LNP,"102 Imperial Parade, (Cnr Government Rd and Imperial",    Ph: 07 5560 6100,
,,,"Pde), Labrador Qld 4215",   Fax: 07 5560 6109,
,,,"(PO Box 644, Labrador Qld 4215)",,
,,,Email: broadwater@parliament.qld.gov.au,,
,,,,,
BATES Rosslyn Mary (Ros) [Ms],Mudgeeraba,LNP,"Mudgeeraba Professional Centre, Swan Lane,",    Ph: 07 5601 7100,
  Deputy Opposition Whip,,,Mudgeeraba Qld 4213,   Fax: 07 5601 7109,
,,,"(PO Box 897, Mudgeeraba Qld 4213)",,
,,,Email: mudgeeraba@parliament.qld.gov.au,,
,,,,,
BENNETT Stephen Andrew (Steve),Burnett,LNP,"Shop 7, Bargara Beach Plaza, 15-19 See Street, Bargara",    Ph: 07 4111 5100,
MpubSectMgmt MA,,,Qld 4670,   Fax: 07 4111 5109,
"Shadow Minister for Environment, Heritage",,,"(PO Box 8371, Bargara Qld 4670)",        1800 819 545,
Protection and National Parks,,,Email: burnett@parliament.qld.gov.au,   (within elect. only),
,,,,,
BLEIJIE Jarrod Pieter LLB JP(Qual),Kawana,LNP,"Sunshine Central, 4/3 Nicklin Way, Minyama Qld 4575", Ph: 07 5406 3100,
"Shadow Minister for Police, Fire,",,,"(PO Box 1200, Buddina Qld 4575)",Fax: 07 5406 3109,
Emergency Services and Corrective Services,,,Email: kawana@parliament.qld.gov.au,,
,,,,,
BOOTHMAN Mark Andrew BMm,Albert,LNP,"2 Rochester Drive, Mt Warren Park Qld 4207", Ph: 07 3445 0100,
,,,"(PO Box 1255, Beenleigh Qld 4207)",Fax: 07 3445 0109,
,,,Email: albert@parliament.qld.gov.au,     1800 065 183,
,,,,(within elect. only),
,,,,,
BOYD Nikki [Ms] DipChildSvcs,Pine Rivers,ALP,"Shop 5A, 199 Gympie Road, Strathpine Qld 4500", Ph: 07 3448 3100,
,,,"(PO Box 5832, Brendale Qld 4500)",Fax: 07 3448 3109,
,,,Email: pine.rivers@parliament.qld.gov.au,     1800 810 662,
,,,,(within elect. only),
,,,,,
BROWN Donald Jon (Don) BAppScLaws,Capalaba,ALP,"Shop 60 Capalaba Park, Mt Cotton Road, Capalaba Qld", Ph: 07 3915 0100,
,,,4157,Fax: 07 3915 0109,
,,,"(PO Box 455, Capalaba Qld 4157)",     1800 224 650,
,,,Email: capalaba@parliament.qld.gov.au,(within elect. only),
,,,,,
BUTCHER Glenn James,Gladstone,ALP,"2/191 Philip Street, Gladstone Qld 4680", Ph: 07 4904 1100,
,,,Email: gladstone@parliament.qld.gov.au,Fax: 07 4904 1109,
,,,,     1800 810 547,
,,,,(within elect. only),
,,,,,
